time,open,high,low,close,volume
2021-06-01 09:30:00-04:00,251.19,251.215,250.43,250.69,8603
2021-06-01 09:31:00-04:00,250.88,251.09,250.77,250.89,4812
2021-06-01 09:32:00-04:00,250.93,250.95,250.74,250.85,4168
2021-06-01 09:33:00-04:00,250.82,250.85,250.61,250.66,2633
2021-06-01 09:34:00-04:00,250.65,250.71,250.615,250.615,1529
2021-06-01 09:35:00-04:00,250.57,250.72,250.43,250.555,5602
2021-06-01 09:36:00-04:00,250.48,250.56,250.34,250.34,4893
2021-06-01 09:37:00-04:00,250.355,250.43,250.25,250.43,3653
2021-06-01 09:38:00-04:00,250.355,250.45,250.34,250.45,4399
2021-06-01 09:39:00-04:00,250.41,250.46,250.265,250.46,566
2021-06-01 09:40:00-04:00,250.48,250.745,250.48,250.69,1312
2021-06-01 09:41:00-04:00,250.75,250.78,250.52,250.52,1874
2021-06-01 09:42:00-04:00,250.52,250.53,250.41,250.41,792
2021-06-01 09:43:00-04:00,250.34,250.375,250.08,250.08,2081
2021-06-01 09:44:00-04:00,250.16,250.17,249.965,250.11,6485
2021-06-01 09:45:00-04:00,250.01,250.175,250.0,250.065,3476
2021-06-01 09:46:00-04:00,250.02,250.02,249.79,249.91,1792
2021-06-01 09:47:00-04:00,249.96,250.17,249.96,250.04,6588
2021-06-01 09:48:00-04:00,249.98,249.98,249.78,249.91,2051
2021-06-01 09:49:00-04:00,249.875,249.875,249.72,249.81,3873
2021-06-01 09:50:00-04:00,249.785,249.835,249.665,249.665,3382
2021-06-01 09:51:00-04:00,249.525,249.525,249.52,249.52,587
2021-06-01 09:52:00-04:00,249.61,249.615,249.6,249.6,731
2021-06-01 09:53:00-04:00,249.64,249.65,249.6,249.65,970
2021-06-01 09:54:00-04:00,249.52,249.55,249.52,249.55,2044
2021-06-01 09:55:00-04:00,249.51,249.51,249.51,249.51,671
2021-06-01 09:56:00-04:00,249.55,249.66,249.55,249.65,1326
2021-06-01 09:57:00-04:00,249.85,249.85,249.85,249.85,494
2021-06-01 09:58:00-04:00,249.855,249.99,249.855,249.955,1661
2021-06-01 09:59:00-04:00,249.94,249.95,249.91,249.95,389
2021-06-01 10:00:00-04:00,249.995,250.045,249.795,250.045,2101
2021-06-01 10:01:00-04:00,249.965,249.965,249.755,249.82,1918
2021-06-01 10:02:00-04:00,249.78,249.79,249.72,249.775,1061
2021-06-01 10:03:00-04:00,249.63,249.725,249.6,249.655,1300
2021-06-01 10:04:00-04:00,249.64,249.64,249.53,249.53,1744
2021-06-01 10:05:00-04:00,249.54,249.59,249.53,249.59,1228
2021-06-01 10:06:00-04:00,249.59,249.68,249.57,249.65,8339
2021-06-01 10:07:00-04:00,249.67,249.77,249.6,249.705,9598
2021-06-01 10:08:00-04:00,249.82,249.82,249.78,249.78,378
2021-06-01 10:09:00-04:00,249.8,249.8,249.8,249.8,172
2021-06-01 10:10:00-04:00,249.625,249.68,249.58,249.58,734
2021-06-01 10:11:00-04:00,249.63,249.65,249.39,249.39,948
2021-06-01 10:12:00-04:00,249.41,249.45,249.22,249.22,3376
2021-06-01 10:13:00-04:00,249.22,249.27,249.13,249.22,2167
2021-06-01 10:14:00-04:00,249.1,249.1,248.88,248.88,2291
2021-06-01 10:15:00-04:00,248.81,248.81,248.345,248.345,5858
2021-06-01 10:16:00-04:00,248.32,248.475,248.28,248.41,4685
2021-06-01 10:17:00-04:00,248.375,248.48,248.33,248.36,5078
2021-06-01 10:18:00-04:00,248.32,248.35,248.16,248.26,5746
2021-06-01 10:19:00-04:00,248.3,248.37,248.27,248.33,4747
2021-06-01 10:20:00-04:00,248.335,248.335,248.08,248.09,4310
2021-06-01 10:21:00-04:00,248.02,248.1,247.925,248.03,3138
2021-06-01 10:22:00-04:00,248.07,248.15,248.005,248.11,3025
2021-06-01 10:23:00-04:00,248.04,248.18,248.04,248.18,2006
2021-06-01 10:24:00-04:00,248.24,248.27,248.22,248.27,2116
2021-06-01 10:25:00-04:00,248.29,248.43,248.29,248.43,2507
2021-06-01 10:26:00-04:00,248.5,248.5,248.46,248.48,1631
2021-06-01 10:27:00-04:00,248.54,248.59,248.43,248.5,1415
2021-06-01 10:28:00-04:00,248.545,248.545,248.51,248.51,923
2021-06-01 10:30:00-04:00,248.63,248.63,248.56,248.61,816
2021-06-01 10:31:00-04:00,248.7,248.76,248.7,248.76,1391
2021-06-01 10:32:00-04:00,248.79,248.83,248.74,248.82,1393
2021-06-01 10:33:00-04:00,248.73,248.73,248.63,248.65,1758
2021-06-01 10:34:00-04:00,248.73,248.91,248.73,248.91,705
2021-06-01 10:35:00-04:00,248.92,249.02,248.79,248.79,2825
2021-06-01 10:36:00-04:00,248.805,248.95,248.805,248.95,1910
2021-06-01 10:37:00-04:00,248.985,249.09,248.985,249.0,1755
2021-06-01 10:38:00-04:00,248.97,249.02,248.86,248.86,2863
2021-06-01 10:39:00-04:00,248.91,248.91,248.91,248.91,284
2021-06-01 10:40:00-04:00,248.95,248.995,248.95,248.97,835
2021-06-01 10:41:00-04:00,249.03,249.13,249.03,249.03,1043
2021-06-01 10:42:00-04:00,249.02,249.02,248.88,248.88,905
2021-06-01 10:43:00-04:00,248.87,248.93,248.86,248.92,1636
2021-06-01 10:44:00-04:00,248.96,248.96,248.815,248.815,1496
2021-06-01 10:45:00-04:00,248.65,248.72,248.59,248.62,1668
