time,open,high,low,close,volume
2021-06-01 09:30:00-04:00,7.615,7.64,7.595,7.595,1384
2021-06-01 09:31:00-04:00,7.565,7.565,7.565,7.565,200
2021-06-01 09:34:00-04:00,7.65,7.65,7.65,7.65,1100
2021-06-01 09:35:00-04:00,7.62,7.62,7.57,7.57,2283
2021-06-01 09:37:00-04:00,7.6,7.6,7.6,7.6,300
2021-06-01 09:38:00-04:00,7.63,7.63,7.63,7.63,363
2021-06-01 09:39:00-04:00,7.62,7.62,7.62,7.62,106
2021-06-01 09:46:00-04:00,7.69,7.69,7.68,7.68,300
2021-06-01 09:48:00-04:00,7.65,7.65,7.65,7.65,100
2021-06-01 09:52:00-04:00,7.67,7.67,7.67,7.67,300
2021-06-01 09:54:00-04:00,7.65,7.65,7.63,7.63,201
2021-06-01 09:56:00-04:00,7.63,7.63,7.63,7.63,200
2021-06-01 10:01:00-04:00,7.65,7.65,7.65,7.65,100
2021-06-01 10:02:00-04:00,7.63,7.63,7.63,7.63,111
2021-06-01 10:03:00-04:00,7.62,7.63,7.62,7.63,200
2021-06-01 10:05:00-04:00,7.64,7.64,7.64,7.64,500
2021-06-01 10:07:00-04:00,7.68,7.68,7.68,7.68,100
2021-06-01 10:08:00-04:00,7.67,7.67,7.67,7.67,200
2021-06-01 10:09:00-04:00,7.67,7.67,7.67,7.67,300
2021-06-01 10:11:00-04:00,7.65,7.65,7.65,7.65,200
2021-06-01 10:12:00-04:00,7.64,7.64,7.63,7.63,992
2021-06-01 10:15:00-04:00,7.62,7.62,7.62,7.62,1200
2021-06-01 10:18:00-04:00,7.63,7.63,7.63,7.63,106
2021-06-01 10:19:00-04:00,7.645,7.645,7.645,7.645,111
2021-06-01 10:21:00-04:00,7.595,7.595,7.595,7.595,192
2021-06-01 10:22:00-04:00,7.59,7.59,7.59,7.59,1000
2021-06-01 10:26:00-04:00,7.64,7.65,7.64,7.64,1800
2021-06-01 10:28:00-04:00,7.63,7.63,7.63,7.63,200
2021-06-01 10:29:00-04:00,7.645,7.645,7.645,7.645,102
